Реестр инновационных проектов,,,,,,,
Номер,Название проекта,Описание проекта,Информация о заявителе инновационного предложения,,,Функциональный заказчик,Текущий статус
9,Светодиодная прожекторная лампа для прямой замены прожекторных ламп накаливания в прожекторах тягового подвижного состава,"Светодиодная прожекторная лампа для прямой замены прожекторных ламп накаливания в прожекторах тягового подвижного состава с более улучшенными характеристиками, чем у существующих аналогов",ООО N953042,Новиков Д.Ш.,8(832)-265-40-58,Т     ,"16.Адаптация решения для ОАО ""РЖД"""
10,"Мобильный измеритель габаритов  ""МИГ""  Разрабатывается для измерения параметров габаритов железнодорожной инфраструктуры и пассажирских обустройств. Соответствует открытому запросу ЦДПО. 

","МИГ) разрабатывается для измерения параметров габаритов железнодорожной инфраструктуры и пассажирских обустройств. 
Основными преимуществами, которыми обладает проект МИГ является высокая точность и скорость проводимых измерений, огромный функционал по измерению габаритов инфраструктуры пассажирских обустройств, надежность работы устройства при низких и высоких температурах окружающей среды (от -25 до +50 градусов по Цельсию). Проект МИГ будет способен выполнять точные измерения с допустимой погрешностью ±1,5мм. 
",ООО N447473,Лебедев С.Г.,8(733)-966-53-19,ДПО     ,15.Заявка на финансирование
11,Разработка  компактного диммируемого светодиодного светильника с двумя режимами работы,Использование  указанного светильника  в системе интеллектуального освещения пассажирских платформ позволит обеспечить рациональное использование электроэнергии.,ООО N93318,Николаев С.Э.,8(901)-509-79-29,ДПО     ,15.Заявка на финансирование
12,Автоматизация формирования графика работы локомотивных бригад пассажирских поездов,"Программа автоматически составляет расписание локомотивных бригад, чтобы исключить возвращение локомотивной бригады вместе с другими пассажирами. Есть возможность регулирования дополнительных параметров",ООО N683840,Фомин Ю.М.,8(348)-376-42-17,Т     ,15.Заявка на финансирование
13,Установка УКО БУЧА 20/20 для проведения гибридной пневматической ГидроИмпульсной промывки водогрейных котлов,"Установка УКО «БУЧА» используется для очистки от накипи, отложений и грязи, профилактики возникновения отложений в водонагревателях, котлах, теплообменных аппаратах. Экономия затрат на капремонт и энергоресурсы (газ)",ООО N100637,Егоров Б.Ф.,8(277)-405-74-44,ДТВ     ,15.Заявка на финансирование
14,Разработка энергоблока ЭБВ ЭД-4М для электроснабжения вагонов электропоездов ЭД-4М,В рамках проекта разрабатывается энергоблок в замен эксплуатируемым щелочным аккумуляторным батареям. Энергоблок не требует обслуживание на период всего срока службы.,ООО N900479,Смирнов И.Ш.,8(683)-370-76-50,ДМВ     ,15.Заявка на финансирование
15,Разработка информационно-измерительной системы (ИИС) для контроля геометрических параметров стрелочных переводов и ее установка на маневровый локомотив,Установка на маневровый локомотив информационно-измерительной системы для контроля геометрических параметров стрелочных переводов с передачей данных в режиме онлайн,ООО N392280,Соколов К.П.,8(920)-208-72-35,РЦДМ     ,15.Заявка на финансирование
16,Обучение сотрудников с использованием VR- и AR- технологий,Создание обучающих симуляторов на базе технологий виртуальной и дополненной реальности для обучения практическим навыкам сотрудников и отработки сценариев производственных процессов.,ООО N127434,Васильев К.А.,8(749)-794-82-60,П     ,15.Заявка на финансирование
17,Приобретение проездного документа с использованием лицевой биометрии с дальнейшим использованием лицевой биометрии при посадке в пассажирский вагон,Продажа билетов и допуск пассажиров по биометрическим параметрам лица,ООО N982106,Петров Н.С.,8(589)-772-80-38,КБШ ФПК     ,15.Заявка на финансирование
18,Система аналитики и прогнозирования расхода топлива ССПС,"программным обеспечением по оценке и прогнозированию расхода топлива специальным самоходным подвижным составом. Аналитика позволяет выявлять факты чрезмерного потребления для исследования и устранения причин. Кроме того, развитие прототипа и интеграция его в информационные системы ОАО «РЖД» позволит автоматизировать планирование топливных ресурсов на основании годового плана ремонтных работ. ",ООО N199975,Кузнецов Н.Ю.,8(367)-221-51-67,НТЭЦ ДПМ    ,15.Заявка на финансирование
19,"Квантовые коммуникации ""Создание прототипа передачи ключей информации по атмосферному каналу (беспилотный маневровый локомотив)""",Беспилотное управление маневровым локомотивом на полигоне Куйбышевской железной дороги с применением квантовых криптографических технологий,ООО N989616,Иванов В.Г.,8(189)-696-33-58,Т Д НС   ,14.Подготовка ТТ (ТЗ)
20,Разработка тяговых накопителей электрической энергии,В рамках проекта разрабатывается прототип тягового накопителя электрической энергии способный накапливать электрическую энергию рекуперации и выдачи ее обратно в систему тягового электроснабжения при дефиците мощности в режиме тяги.,ООО N725117,Павлов Г.Р.,8(676)-404-57-72,НТЭ     ,14.Подготовка ТТ (ТЗ)
21,Разработка управляемых точечных вагонных замедлителей,В рамках проекта разрабатывается прототип управляемого точечного замедлителя.,ООО N648022,Смирнов Г.О.,8(393)-221-11-27,Ш     ,14.Подготовка ТТ (ТЗ)
22,Разработка изолирующей торцевой прокладки рельсовой цепи,Разработка прототипа изолирующей торцевой прокладки рельсовой цепи повышенной износостойкости.,ООО N773104,Козлов Т.Р.,8(725)-610-95-55,П     ,14.Подготовка ТТ (ТЗ)
23,Робототехнические комплексы , Разработка робототехнических комплексов различного назначения.,ООО N892849,Павлов Д.П.,8(572)-253-97-50,Д ДМ    ,14.Подготовка ТТ (ТЗ)
24,Сервис по оплате O.Pay,Сервис реализован на базе решения O.Pay — технологии распознавания лиц от участника корпоративного акселератора ВТБ — компании O.Vision.,ООО N186644,Петров К.Б.,8(762)-743-52-66,СППК     ,14.Подготовка ТТ (ТЗ)
25,Мобильный измеритель параметров пути,,ООО N120285,Никулин Б.С.,8(565)-736-49-32,ДРП     ,14.Подготовка ТТ (ТЗ)
26,SocialID,"""Бесконтактная оплата проезда пригородными поездами "" с использованием платформы Сбербанка ""Social ID"" . Технология, с помощью которой льготная категория граждан сможет оплачивать проезд бесконтактно с помощью карт ""Мир"" любого банка, не предъявляя при этом льготное удостоверение",ООО N833109,Михайлов Р.И.,8(135)-535-92-26,СППК     ,14.Подготовка ТТ (ТЗ)
27,Создание электроэнергии из вибрации. Пьезоэлектрический PVDF генератор для контроля подвагонного пространства с онлайн передачи данных,,ООО N203389,Егоров Н.Х.,8(974)-845-57-58,Т В ДМВ ДИ  ,14.Подготовка ТТ (ТЗ)
28,Компенсаторы деформационных швов,Использование пеноматериала при заделке швов между бетонными плитами в хозяйстве пассажирских обустройств,ООО N208802,Павлов С.Э.,8(202)-144-40-64,ДПО     ,14.Подготовка ТТ (ТЗ)
29,"Использование изоляционного материала на металлических железнодорожных мостах, с целью достижения эффекта шумоподавления","Использование изоляционного материала на металлических железнодорожных мостах, с целью достижения эффекта шумоподавления",ООО N50774,Новиков Н.К.,8(450)-736-91-30,П ДИ    ,14.Подготовка ТТ (ТЗ)
30,Робот для расцепке отцепов на сортирвоочной горке,Роботизация отцепки вагонов сминимальной подготовкой инфраструктуры,ООО N689163,Пилюков Э.Б.,8(486)-832-53-46,Ш Д    ,14.Подготовка ТТ (ТЗ)
31,АСУ ОТ автоматизированная система управления охраной труда,"Цифровая платформа управления охраной труда в ОАО ""РЖД"". Программное решение с интеграцией в АСУ ЗМ, АСУ ОПО, ИС-""Травматизм"", АСУ ПБ, АСУ техническая документация, КСОТ-П СОУТ (специальная оценка условий труда) и др. Среди функций ПО контроль прохождения медосмотров, обеспечения СИЗ, анализ обучения сотрудников, спецоценка условий труда, аудит охраны труда",ООО N936936,Петров М.Б.,8(301)-800-66-51,ДИ     ,14.Подготовка ТТ (ТЗ)
32,Умные СИЗ,"Программно-аппаратный комплекс, состоящий из средств индивидуальной защиты, встраиваемых электронных приборов контроля интересующих параметров и программного обеспечения, обеспечивающего анализ и отображение данных",ООО N677706,Пилюков С.П.,8(574)-430-66-99,П НТЭ НБТ ДИ  ,14.Подготовка ТТ (ТЗ)
33,Облачный Smart мониторинг,"Установка АС по контролю работы электрических приборов на платформе, осуществлению контроля за потреблением электрической энергии. Также имеется возможность модернизации системы, например: фото фиксация состояния платформ, управлением освещением, установка турникетов для контроля пассажиропотока. Система передает данные на сервер посредством GPS сигнала, сервер передает информацию в формате оперативного контроля данных через СПД.",ООО N711961,Фомин Х.Д.,8(656)-885-76-54,РДЖВ     ,13.Рассмотрение ФЗ результатов испытаний
34,"Применение антиобледенительного состава ""ЛЕДТАЙ"" на кровле/платформе","Система обработки поверхностей обледенительным составом, который позволяет исключить образование наледи",ООО N413760,Семенов Г.О.,8(432)-543-59-63,ДПО     ,13.Рассмотрение ФЗ результатов испытаний
35,Разработка и внедрение технологического комплекса по переработке стоков промышленных предприятий,Предлагается комплекс по переработке и обеззараживанию отходов,ООО N713175,Михайлов К.К.,8(954)-529-81-37,ДТВ     ,13.Рассмотрение ФЗ результатов испытаний
36,СберЛогистика,Отправка/получение  посылок,ООО N200388,Козлов Ф.О.,8(189)-319-97-65,РДЖВ     ,12.Подготовка ТЭО по результатам испытаний
37,СберЕАПТЕКА,Доставка медицинских препаратов пассажирам,ООО N411644,Соколов К.Р.,8(231)-489-31-40,РДЖВ     ,12.Подготовка ТЭО по результатам испытаний
38,Применение аддитивных технологий в хозяйстве автоматики и телемеханики,Орагнизация тиражирования компонентов силами Ремонтной дистанции СЦБ,ООО N715626,Новиков П.П.,8(351)-592-66-61,Ш ДИ    ,12.Подготовка ТЭО по результатам испытаний
39,Акустическая диагностика,Диагностика объектов инфраструктуры методом анализа акустических сигналов,ООО N198167,Соколов Э.Х.,8(522)-703-78-21,ДИ     ,12.Подготовка ТЭО по результатам испытаний
40,Мониторинг скально-обвальных участков и искусственных сооружений ,Система контроля и мониторинга состояния искусственных сооружений и скально-обвальных участков инфраструктуры Куйбышевской железной дороги при помощи 3D моделирования ,ООО N666458,Попов Ф.Т.,8(506)-799-94-19,РЦДМ П    ,12.Подготовка ТЭО по результатам испытаний
41,Средства для эффективного удаления загрязнений,,ООО N935552,Нечаев Э.Н.,8(609)-568-79-15,ДМ ДМВ Т СТМ-Сервис  ,12.Подготовка ТЭО по результатам испытаний
42,Поверка резервуаров ГСМ (цистерн),,ООО N249179,Нечаев Т.К.,8(358)-791-45-44,КЦМ     ,12.Подготовка ТЭО по результатам испытаний
43,Электронный наряд-допуск,В рамках проекта разрабатывается прототип системы выдачи электронного наряд-допуска.,ООО N389747,Семенов Р.К.,8(376)-993-94-13,ДКРЭ НТЭ НБТ   ,11.Испытания
44,Автоматизация учета дизелшьного топлива (взлив),"Предлагаемая система позволит вести учет  нефтепродуктов при наливе и сливе из автоцистерны, а также для дозированной выдачи нефтепродуктов и других жидкостей. Система решает проблему учета и контроля движения нефтепродуктов по массе и объему. Позволит вести учет и информирование о качестве в реальном времени и передачу информации в информационный центр.",ООО N727031,Смирнов Р.Г.,8(415)-932-82-48,ДМС     ,11.Испытания
45,Разработка и создание автоматизированного рабочего места для поверки средств измерения  давления,"Решение позволит (отвечающих требования открытых запросов ЦТех) :
1. Производить автоматический одновременный замер четырех рабочих контрольных точек средств измерения давления и расчет погрешности (манометров/датчиков давления).
2. Автоматизировать выдачу протокола, свидетельства о проверке и извещения.
3. Аккумулировать данные о средствах измерения давления в единой базе.
4. Сократить время поверки средств измерения давления.
5. Расширить область аккредитации (возможность поверять кислородные манометры).
6. Исключить человеческий фактор при произведении измерений.
",ООО N397733,Морозов Л.Ю.,8(967)-122-57-41,КЦМ     ,11.Испытания
46,Распознавание дефектов металла и оборудования с помощью искусственного интеллекта,"Метод автоматической расшифровки цифровых сигналов вибродиагностики и дефектоскопии с помощью нейросетей и алгоритмов машинного обучения в режиме реального времени.

",ООО N353094,Павлов Д.С.,8(677)-805-87-84,РЦДМ     ,11.Испытания
47,Система видеоаналитики на основе машинного зрения для определения маркировки рельсовых плетей,Система распознавания маркировки рельсовых плетей при помощи системы машинного зрения,ООО N687875,Пилюков Г.К.,8(385)-786-54-42,П     ,11.Испытания
48,"Автоматизация процесса Книга замечаний машинистов, система человек на пути","«Видеофиксация нарушений в зоне движения поездов в автоматизированном режиме» в сфере организации движения поездов. Результат пилотного проекта ВНДП должен представлять собой программно-аппаратный комплекс для установки и интеграции непосредственно в кабине подвижного состава без необходимости модернизации существующих систем состава, способный детектировать посторонние объекты на дорожном полотне в реальном времени. ",ООО N730395,Лебедев П.Э.,8(573)-362-72-17,ДМВ Т    ,11.Испытания
49,Пилотный проект программного комплекса автоматизированного учета производственных операций работников ОАО «РЖД» в сфере организации движения поездов,"Предлагаемое решение в целевом состоянии должно исключить ручное вмешательство в учете производственных операций сигналиста, составителя поездов и дежурного по станции от момента прибытия поезда до момента его отправления со станции (включая время ожидания приема как на этапах фиксации объемных показателей по производственным операциям, так и агрегирования данных в автоматизированной системе.)",ООО N749,Морозов Р.Л.,8(929)-584-88-23,Д     ,11.Испытания
50,"«Композитные шумопоглащающие панели с
древобетоном» (предложение ООО «Масстар»)",Защита населения от сверхнормативного акустического воздействия инфраструктуры железнодорожного транспорта ,ООО N166958,Волков Р.Ш.,8(577)-582-31-96,ДИ     ,11.Испытания
51,"Система управления движением поездов с повышением скорости движения и сокращения межпоездного интервала попутного следования «СУРА» (ДИ, Ш, Д)",Создание системы управления движением поездов с повышением скорости движения и сокращения межпоездного интервала попутного следования на участках интенсивного грузового движения и на фронтах капитального ремонта пути с организацией движения поездов по одному из путей двухпутного перегона.,ООО N73281,Попов К.М.,8(192)-428-63-73,Д Ш НС Т  ,11.Испытания
52,"Разработка системы навигации и мониторинга персонала, обслуживающего устройства автоматики, телемеханики и автоблокировки","Наглядное представление о наличии в данный момент механиков СЦБ или бригады на определенном участке дороги (станции).

",ООО N774925,Морозов Б.Т.,8(514)-315-81-85,Ш     ,11.Испытания
53,"Полиуретановые системы «Заменитель бетона» для установки опор, а так же другие системы и применения (Альтернативный материал для заделки межплиточных швов полиуретановая  пена)","Применение двухкомпонентных полиуретановых систем («заменителей бетона») для установки различных опор в грунтах. При этом из-за низкой плотности полиуретановых материалов их расход (в кг) в несколько раз меньше, чем расход бетона, при сопоставимой прочности.",ООО N54999,Кемаев К.Х.,8(160)-675-45-20,ДПО     ,11.Испытания
54,"Осуществление опытных перевозок железнодорожным транспортом грузов и порожних вагонов повагонными отправками, группами вагонов без оформления вагонного листа формы ГУ-38а, ГУ-38б во внутригосударственном сообщении",,ООО N346025,Кузнецов К.Г.,8(490)-234-93-85,КТЦФТО     ,11.Испытания
55,Внедрение Интерактивной карты в Личном кабинете Клиента в разделе “Справочники” и “Карты” ,,ООО N197504,Никулин Н.М.,8(220)-613-18-81,КТЦФТО     ,11.Испытания
56,"""Проведение обучения и тестирования работников знаниям выполнения проверки состояния, регулировки и ремонта воздушной стрелки с применением VR-технологии""","В рамках проекта заявителем разрабатывается модуль проведения обучения и тестирования работников знаниям выполнения проверки состояния, регулировки и ремонта воздушной стрелки с применением VR-технологии",ООО N533312,Неманов Г.К.,8(996)-219-32-69,НТЭ     ,11.Испытания
57,Накопление электрической энергии с возможностью использования накопленной энергии на вспомогательные нужды,,ООО N467268,Пилюков Р.Б.,8(417)-618-87-45,НТЭ     ,9.Формирование ДК
58,Грязеотталкивающие покрытия,Использование водо-грязеотталкивающих покрытий для увеличения периодичности покраски. Улучшение видимости литерных знаков за счет снижения адгезии снега и пыли,ООО N802266,Новиков Э.Ф.,8(866)-315-79-58,Ш     ,11.Испытания
59,Комплексная система  контроля приближения к опасной зоне работников на тяговых подстанциях,"Система контроля доступа персонала на объекты повышенной опасности (трансформаторы, питающие панели и др.) основанная на высокочувствительной сигнализации. Позволяет также отслеживать налчие в контрольной зоне посторонних предметов. Звуковое оповещение и вывод события на пульт диспетчера",ООО N715776,Иванов Э.Н.,8(738)-282-21-95,НТЭ     ,11.Испытания
60,Изготовление шумозащитных экранов для рельсового хозяйства ,Изготовление шумозащитных экранов (с использованием сшитого полиэтилена) для рельсового хозяйства ,ООО N155118,Павлов С.А.,8(520)-331-66-49,НЦОП П ДИ   ,10.Формирование ПМИ
61,Железнодорожная светодиодная светофорная лампа «ЖССЛ»,"Предлагается железнодорожная светофорной светодиодная лампа «ЖССЛ», предназначенная для прямой замены железнодорожных светофорных ламп накаливания типа ЖС 12-15 и ЖС 12-25 с улучшенными характеристиками",ООО N950455,Пилюков Л.О.,8(295)-716-71-20,Ш     ,10.Формирование ПМИ
62,Спиральные вагонные замедлители,"Доработка конструкции и апробация спиральных вагонных замедлителей. Основные преимущества - отсутствие шума, относительно малый объем подготовки инфраструктуры для применения СВЗ, наличие нерабочего положения для выполнения маневров.",ООО N833711,Иванов П.С.,8(540)-662-23-84,Ш     ,10.Формирование ПМИ
63,"Быстровозводимая сборно-разборная модульная пассажирская платформа из композиционных материалов""",,ООО N612849,Фомин Н.С.,8(191)-901-82-71,ДПО     ,10.Формирование ПМИ
64,"Цифровая аналитическая система ООО ""Химмотолог"" для мониторинга горючесмазочных материалов и технического состояния тепловозов","Оборудование предназначено для контроля состояния техники, определения концентрации частиц износа, предупреждения аварийных ситуаций. 
Датчик может устанавливаться в картеры ДВС, компрессоров, коробки передач, раздаточные коробки, мосты.",ООО N224062,Смирнов И.Ф.,8(519)-137-67-72,ДПМ     ,10.Формирование ПМИ
65,Проецирование информации на стекло МВПС,,ООО N359229,Николаев Г.С.,8(917)-122-14-25,ДМВ     ,10.Формирование ПМИ
66,"Система видеоаналитики для контроля использования средств индивидуальной защиты  и контроля нахождения работников службы вагонного хозяйства Куйбышевской дирекции инфраструктуры, проводящие работы в опасных зонах пункта текущего отцепочного ремонта ","Система обрабатывает данные с камер видеонаблюдения, определяет наличие людей в опасных зонах и контролирует использование средств индивидуальной защиты. При выявлении нарушений предпринимаются меры реагирования (сигнал тревоги). Нарушения протоколируются и сохраняются для дальнейшего разбора нарушения.",ООО N965312,Васильев И.И.,8(627)-981-57-32,В     ,10.Формирование ПМИ
67,Программное обеспечение для обработки информации с беспилотных летательных аппаратов,"Использование БПЛА позволит проводить натурные осмотры зданий и сооружений, в том числе высотных, выявлять теплопотери, осматривать и выявлять недостатки на удаленных участках.",ООО N730077,Смирнов П.К.,8(991)-414-50-84,Т     ,10.Формирование ПМИ
68,"Виртуальное техническое обучение правилам охраны труда при ликвидации повреждений контактной сети, ВЛ, ДПР и при аварийно-восстановительных работах на электрофицированном участке","Создание современной и безопасной цифровой образовательной среды, обеспечивающей высокое качество и доступность образования в области обеспечения безопасности всех видов и уровней. Формирование системы непрерывного обновления сотрудниками своих профессиональных знаний и приобретения ими новых профессиональных навыков",ООО N925797,Барских Р.О.,8(240)-455-39-22,НТЭ     ,10.Формирование ПМИ
69,"Решение по внедрению полимерных конструкций в инфраструктуру Куйбышевской железной дороги ""Разработка композитных настилов пешеходных перходов через железнодорожные пути""","Компанией ООО ""Конструкционные композиты"" предлагается ряд решений по замене бетонных и металлических конструкций на полимерные",ООО N632569,Фомин Г.Ю.,8(415)-288-27-25,П,10.Формирование ПМИ
70,«Дополненная реальность AR-АЛЬФА» для проведения технической учебы для работников энергоснабжения (открытый запрос ТЭ),"Дополненная реальность AR-АЛЬФА предназначена для повышения уровня безопасности, информативности, а также производительности труда специалистов обслуживающие энергетические узлы на объектах Трансэнерго",ООО N208021,Федоров Н.С.,8(254)-909-22-18,НТЭ     ,10.Формирование ПМИ
71,Программное обеспечение для обработки информации с БПЛА,"Перечень возможностей ПО на примере программы PIX4D.
1. Оцифровка изображений с БПЛА в цифровые пространственные модели .
2. Создание ортофотопланов с облаком точек и 3D модели по отснятым материалам.
3. Измерение расстояния, площади и объема, извлечение данных профиля высоты из полученной модели.       ",ООО N725138,Попов О.Ю.,8(967)-534-38-51,ДРП     ,10.Формирование ПМИ
72,Устройство для контроля статической подуклонки рельсов,"Изобретение относится к области измерительного оборудования, в частности к устройствам для измерения геометрических параметров пути, в частности угла наклона рельсов относительно плоскости пути.",ООО N841923,Алексеев О.О.,8(120)-581-21-47,П     ,10.Формирование ПМИ
73,"Температурные напряжения, возникающие в рельсовой плети при вводе в оптимальный температурный интервал","Температурные напряжения, возникающие в рельсовой плети при вводе в оптимальный температурный интервал",ООО N788385,Барских М.Р.,8(963)-778-12-17,П     ,10.Формирование ПМИ
74,Программно-аппаратный комплекс по контролю и управлению потоками сыпучих материалов (щебенки),,ООО N101155,Алексеев К.М.,8(810)-406-57-37,ДРП     ,9.Формирование ДК
75,Антиобледенительные тонкослойные покрытия «СНЕГОТЕК-1» и «ФЛУОРА»,"Тонкослойные антиобледенительные покрытия ""СНЕГОТЕК-1"" и ""ФЛУОРА"" обеспечивают на обрабатываемых поверхностях антиобледенительное покрытие с антиадгезийными и антикоррозийными свойствами.
 Антиобледенительные композиции ""СНЕГОТЕК-1"" и ""ФЛУОРА"" обладают следующими свойствами:
 • Превосходные защитные антиобледенительные, антиадгезийные свойства, придание гидрофобности
 • Снижает налипания мокрого снега, инея
 • Формирует устойчивый защитно-разделительный слой к загрязнениям
 • Химически инертные вещества
 • Имеют длительный срок действия
 • Придают дополнительные антикоррозийные свойства",ООО N115526,Николаев И.Б.,8(209)-435-97-47,ДМВ     ,9.Формирование ДК
